Population,Fidalgo Bay,,,,Hood Canal,,,,South Sound F1,,,,South Sound F2,,,
Temperature,10,,6,,10,,6,,10,,6,,10,,6,
Parental pH,7.8,7.2,7.8,7.2,7.8,7.2,7.8,7.2,7.8,7.2,7.8,7.2,7.8,7.2,7.8,7.2
Total larvae released," 1,116,100 "," 439,800 "," 277,700 "," 1,483,700 "," 939,500 "," 705,200 "," 105,100 "," 959,300 "," 3,421,100 "," 2,373,200 "," 2,178,400 "," 2,115,500 "," 466,200 "," 653,400 "," 517,500 "," 370,100 "
 Mean Larvae Stocking Densitu ," 40,200 "," 29,500 "," 29,100 "," 54,300 "," 49,600 "," 56,100 "," 22,000 "," 43,300 "," 89,000 "," 74,600 "," 50,300 "," 58,700 "," 53,600 "," 32,400 "," 47,200 "," 31,900 "
# Days larvae stocked,5,4,4,9,5,6,1,3,13,9,9,10,9,7,6,5
 Eyed larvae stocked ," 3,700 "," 2,980 "," 11,120 "," 11,780 "," 13,920 "," 19,860 "," 2,500 "," 10,690 "," 29,600 "," 4,760 "," 11,930 "," 6,030 "," 13,930 "," 2,110 "," 22,190 "," 9,740 "
 % Survival to 224um , 1.3 , 1.4 , 8.5 , 3.0 , 5.2 , 6.6 , 5.1 , 4.7 , 4.2 , 0.7 , 2.7 , 1.2 , 4.4 , 1.0 , 6.7 , 5.7 
 % Survival to postset , 18.5 , 2.7 , 13.8 , 5.9 , 9.7 , 6.0 , 26.5 , 9.3 , 0.2 , 0.7 , 1.1 , 3.6 , 1.9 , 5.8 , 1.7 , 3.5 
 Mean length @ 10 months , 9.7 , 12.3 , 9.0 , 8.4 , 7.0 , 6.6 , 6.5 , 4.9 , 11.0 , 12.2 , 11.2 , 11.0 , 10.7 , 13.4 , 11.0 , 7.5 
 length sd  , 3.0 , 5.4 , 2.7 , 3.5 , 2.3 , 2.9 , 1.9 , 2.3 , 3.8 , 4.2 , 3.5 , 3.4 , 3.7 , 4.4 , 3.7 , 3.0 
Juvenile stocking density,661,77,720,684,1311,1091,501,834,54,35,128,211,259,122,372,341
