BAG,GROUP,COHORT,TREATMENT,TEMP,PH,SIZE-CLASS,BAG-WEIGHT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,9.67,7.25,7.27,7.63,12.46,6.52,9.6,5.75,10.81,8.76,8.49,6.36,7.29,8.89,8.82,10.86,7.56,9.2,4.92,4.07,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,5.8,4.92,8.57,8.98,7.21,9.92,7.68,4.24,10.09,7.67,5.23,8.92,6.63,7.07,6.94,7.05,8.54,8.24,10.55,3.27,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,7.9,9.16,6.63,6.76,4.52,5.4,10.05,9.59,5.57,6.69,7.06,9.99,7.93,7.26,7.87,5.7,7.59,6.65,9.2,7.76,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,5.85,7.93,5.21,8.15,7.49,6.11,10.58,6.76,8.56,10.52,8.88,7.34,6.85,5.14,4.99,6.01,4.64,4.56,8.07,2.58,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,5.07,4.84,2.5,8.02,5.73,3.46,8.48,9.07,7.68,5.67,6.23,3.77,5.75,4.05,6.88,16.37,15.09,8.27,9.8,5.53,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,6.38,4.33,6.94,5.86,3.35,9.79,7.63,7.37,8.81,5.65,9.25,6.83,7.94,5.55,12.84,3.52,10.38,10.06,3.87,11.33,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,5.47,11.92,5.88,8.15,8.3,5.59,9.42,9.24,6.52,8.02,6.57,4.5,6.87,6.7,6.36,6.09,6.47,12.26,8.66,5.62,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,5.45,10.26,5.47,8.37,5.28,5.49,10.61,6.45,9.1,8.98,6.2,4.72,7.2,4.95,3.57,9.39,8.24,10.26,4.58,4.76,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,7.51,10.31,6.68,5.71,8,6.75,4.95,7.38,7.49,6.64,8.86,5.16,10.14,8.33,4.5,6.19,6.3,3.44,5.29,7.08,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,5.34,4.92,11.23,5.53,7.01,5.08,5.64,8.16,9.46,8.08,10.2,4.88,6.87,5.2,5.19,8.7,8.39,4.31,6.79,5.37,,,,,,,
