#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 20031751, SEN S/N: 20031751)",Coupler Detached (LGR S/N: 20031751),Coupler Attached (LGR S/N: 20031751),Host Connected (LGR S/N: 20031751),Stopped (LGR S/N: 20031751),End Of File (LGR S/N: 20031751)
1,12/20/2016 13:00,30.469,Logged,,,,
2,12/20/2016 13:30,26.671,,,,,
3,12/20/2016 14:00,25.55,,,,,
4,12/20/2016 14:30,24.847,,,,,
5,12/20/2016 15:00,26.353,,,,,
6,12/20/2016 15:30,24.919,,,,,
7,12/20/2016 16:00,21.294,,,,,
8,12/20/2016 16:30,20.079,,,,,
9,12/20/2016 17:00,20.722,,,,,
10,12/20/2016 17:30,21.819,,,,,
11,12/20/2016 18:00,19.96,,,,,
12,12/20/2016 18:30,18.414,,,,,
13,12/20/2016 19:00,19.318,,,,,
14,12/20/2016 19:30,18.913,,,,,
15,12/20/2016 20:00,18.438,,,,,
16,12/20/2016 20:30,18.129,,,,,
17,12/20/2016 21:00,18.152,,,,,
18,12/20/2016 21:30,17.867,,,,,
19,12/20/2016 22:00,17.534,,,,,
20,12/20/2016 22:30,17.249,,,,,
21,12/20/2016 23:00,16.987,,,,,
22,12/20/2016 23:30,16.749,,,,,
23,12/21/2016 00:00,16.534,,,,,
24,12/21/2016 00:30,16.296,,,,,
25,12/21/2016 01:00,17.153,,,,,
26,12/21/2016 01:30,16.773,,,,,
27,12/21/2016 02:00,16.439,,,,,
28,12/21/2016 02:30,16.201,,,,,
29,12/21/2016 03:00,17.249,,,,,
30,12/21/2016 03:30,17.058,,,,,
31,12/21/2016 04:00,17.368,,,,,
32,12/21/2016 04:30,16.82,,,,,
33,12/21/2016 05:00,17.225,,,,,
34,12/21/2016 05:30,16.773,,,,,
35,12/21/2016 06:00,18.176,,,,,
36,12/21/2016 06:30,17.272,,,,,
37,12/21/2016 07:00,17.796,,,,,
38,12/21/2016 07:30,17.272,,,,,
39,12/21/2016 08:00,17.629,,,,,
