"Plot Title: 20031753"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20031753, SEN S/N: 20031753)","Coupler Detached (LGR S/N: 20031753)","Coupler Attached (LGR S/N: 20031753)","Host Connected (LGR S/N: 20031753)","End Of File (LGR S/N: 20031753)"
1,12/20/16 01:00:00 PM,31.459,Logged,,,
2,12/20/16 01:30:00 PM,27.235,,,,
3,12/20/16 02:00:00 PM,25.987,,,,
4,12/20/16 02:30:00 PM,25.137,,,,
5,12/20/16 03:00:00 PM,25.162,,,,
6,12/20/16 03:30:00 PM,24.847,,,,
7,12/20/16 04:00:00 PM,23.400,,,,
8,12/20/16 04:30:00 PM,22.011,,,,
9,12/20/16 05:00:00 PM,21.390,,,,
10,12/20/16 05:30:00 PM,22.011,,,,
11,12/20/16 06:00:00 PM,21.843,,,,
12,12/20/16 06:30:00 PM,20.603,,,,
13,12/20/16 07:00:00 PM,19.603,,,,
14,12/20/16 07:30:00 PM,19.222,,,,
15,12/20/16 08:00:00 PM,18.866,,,,
16,12/20/16 08:30:00 PM,18.580,,,,
17,12/20/16 09:00:00 PM,18.461,,,,
18,12/20/16 09:30:00 PM,18.271,,,,
19,12/20/16 10:00:00 PM,18.057,,,,
20,12/20/16 10:30:00 PM,17.843,,,,
21,12/20/16 11:00:00 PM,17.605,,,,
22,12/20/16 11:30:00 PM,17.391,,,,
23,12/21/16 12:00:00 AM,17.177,,,,
24,12/21/16 12:30:00 AM,16.963,,,,
25,12/21/16 01:00:00 AM,16.963,,,,
26,12/21/16 01:30:00 AM,16.939,,,,
27,12/21/16 02:00:00 AM,16.796,,,,
28,12/21/16 02:30:00 AM,16.630,,,,
29,12/21/16 03:00:00 AM,16.749,,,,
30,12/21/16 03:30:00 AM,16.844,,,,
31,12/21/16 04:00:00 AM,16.939,,,,
32,12/21/16 04:30:00 AM,16.701,,,,
33,12/21/16 05:00:00 AM,17.011,,,,
34,12/21/16 05:30:00 AM,16.701,,,,
35,12/21/16 06:00:00 AM,17.915,,,,
36,12/21/16 06:30:00 AM,17.225,,,,
37,12/21/16 07:00:00 AM,17.558,,,,
