"Plot Title: 20031752"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20031752, SEN S/N: 20031752)","Coupler Detached (LGR S/N: 20031752)","Coupler Attached (LGR S/N: 20031752)","Host Connected (LGR S/N: 20031752)","End Of File (LGR S/N: 20031752)"
1,12/20/16 01:00:00 PM,28.766,Logged,,,
2,12/20/16 01:30:00 PM,26.280,,,,
3,12/20/16 02:00:00 PM,25.331,,,,
4,12/20/16 02:30:00 PM,24.702,,,,
5,12/20/16 03:00:00 PM,24.726,,,,
6,12/20/16 03:30:00 PM,24.122,,,,
7,12/20/16 04:00:00 PM,22.896,,,,
8,12/20/16 04:30:00 PM,21.724,,,,
9,12/20/16 05:00:00 PM,21.413,,,,
10,12/20/16 05:30:00 PM,22.274,,,,
11,12/20/16 06:00:00 PM,21.628,,,,
12,12/20/16 06:30:00 PM,20.269,,,,
13,12/20/16 07:00:00 PM,19.746,,,,
14,12/20/16 07:30:00 PM,19.294,,,,
15,12/20/16 08:00:00 PM,18.842,,,,
16,12/20/16 08:30:00 PM,18.461,,,,
17,12/20/16 09:00:00 PM,18.390,,,,
18,12/20/16 09:30:00 PM,18.152,,,,
19,12/20/16 10:00:00 PM,17.891,,,,
20,12/20/16 10:30:00 PM,17.629,,,,
21,12/20/16 11:00:00 PM,17.391,,,,
22,12/20/16 11:30:00 PM,17.153,,,,
23,12/21/16 12:00:00 AM,16.939,,,,
24,12/21/16 12:30:00 AM,16.725,,,,
25,12/21/16 01:00:00 AM,16.939,,,,
26,12/21/16 01:30:00 AM,16.892,,,,
27,12/21/16 02:00:00 AM,16.677,,,,
28,12/21/16 02:30:00 AM,16.487,,,,
29,12/21/16 03:00:00 AM,16.844,,,,
30,12/21/16 03:30:00 AM,16.939,,,,
31,12/21/16 04:00:00 AM,17.082,,,,
32,12/21/16 04:30:00 AM,16.749,,,,
33,12/21/16 05:00:00 AM,17.011,,,,
34,12/21/16 05:30:00 AM,16.701,,,,
35,12/21/16 06:00:00 AM,17.962,,,,
36,12/21/16 06:30:00 AM,17.249,,,,
37,12/21/16 07:00:00 AM,17.558,,,,
38,12/21/16 07:30:00 AM,17.177,,,,
39,12/21/16 08:00:00 AM,17.368,,,,
40,12/21/16 08:30:00 AM,17.558,,,,
41,12/21/16 09:00:00 AM,18.675,,,,
42,12/21/16 09:30:00 AM,18.390,,,,
43,12/21/16 10:00:00 AM,17.986,,,,
44,12/21/16 10:30:00 AM,18.200,,,,
45,12/21/16 11:00:00 AM,18.485,,,,
46,12/21/16 11:30:00 AM,18.699,,,,
47,12/21/16 12:00:00 PM,19.246,,,,
48,12/21/16 12:30:00 PM,19.579,,,,
49,12/21/16 01:00:00 PM,18.794,,,,
50,12/21/16 01:30:00 PM,17.867,,,,
51,12/21/16 02:00:00 PM,17.558,,,,
52,12/21/16 02:30:00 PM,17.439,,,,
53,12/21/16 03:00:00 PM,17.534,,,,
54,12/21/16 03:30:00 PM,17.962,,,,
55,12/21/16 04:00:00 PM,19.127,,,,
56,12/21/16 04:30:00 PM,18.723,,,,
57,12/21/16 05:00:00 PM,17.463,,,,
58,12/21/16 05:30:00 PM,16.320,,,,
59,12/21/16 06:00:00 PM,15.270,,,,
60,12/21/16 06:30:00 PM,14.290,,,,
61,12/21/16 07:00:00 PM,13.353,,,,
62,12/21/16 07:30:00 PM,12.509,,,,
63,12/21/16 08:00:00 PM,15.031,,,,
64,12/21/16 08:30:00 PM,16.106,,,,
65,12/21/16 09:00:00 PM,16.630,,,,
66,12/21/16 09:30:00 PM,16.796,,,,
67,12/21/16 10:00:00 PM,16.892,,,,
68,12/21/16 10:30:00 PM,16.939,,,,
69,12/21/16 11:00:00 PM,16.868,,,,
70,12/21/16 11:30:00 PM,16.844,,,,
71,12/22/16 12:00:00 AM,16.820,,,,
72,12/22/16 12:30:00 AM,16.773,,,,
73,12/22/16 01:00:00 AM,16.677,,,,
74,12/22/16 01:30:00 AM,16.558,,,,
75,12/22/16 02:00:00 AM,16.439,,,,
76,12/22/16 02:30:00 AM,16.272,,,,
77,12/22/16 03:00:00 AM,16.106,,,,
78,12/22/16 03:30:00 AM,15.915,,,,
79,12/22/16 04:00:00 AM,16.344,,,,
80,12/22/16 04:30:00 AM,16.272,,,,
81,12/22/16 05:00:00 AM,16.082,,,,
82,12/22/16 05:30:00 AM,16.630,,,,
83,12/22/16 06:00:00 AM,16.511,,,,
84,12/22/16 06:30:00 AM,17.225,,,,
85,12/22/16 07:00:00 AM,14.673,,,,
86,12/22/16 07:30:00 AM,16.558,,,,
87,12/22/16 08:00:00 AM,15.629,,,,
88,12/22/16 08:30:00 AM,19.532,,,,
89,12/22/16 09:00:00 AM,20.388,,,,
90,12/22/16 09:30:00 AM,20.722,,,,
91,12/22/16 10:00:00 AM,20.889,,,,
92,12/22/16 10:30:00 AM,20.984,,,,
93,12/22/16 11:00:00 AM,21.056,,,,
94,12/22/16 11:30:00 AM,21.103,,,,
95,12/22/16 12:00:00 PM,21.127,,,,
96,12/22/16 12:30:00 PM,21.151,,,,
97,12/22/16 01:00:00 PM,21.103,,,,
98,12/22/16 01:30:00 PM,21.056,,,,
99,12/22/16 02:00:00 PM,21.008,,,,
100,12/22/16 02:30:00 PM,20.960,,,,
101,12/22/16 03:00:00 PM,20.913,,,,
102,12/22/16 03:30:00 PM,20.889,,,,
103,12/22/16 04:00:00 PM,20.889,,,,
104,12/22/16 04:30:00 PM,20.913,,,,
105,12/22/16 05:00:00 PM,20.960,,,,
106,12/22/16 05:30:00 PM,20.984,,,,
107,12/22/16 06:00:00 PM,21.008,,,,
108,12/22/16 06:30:00 PM,21.008,,,,
109,12/22/16 07:00:00 PM,21.032,,,,
110,12/22/16 07:30:00 PM,21.056,,,,
111,12/22/16 08:00:00 PM,21.056,,,,
112,12/22/16 08:30:00 PM,21.079,,,,
113,12/22/16 09:00:00 PM,21.103,,,,
114,12/22/16 09:30:00 PM,21.103,,,,
115,12/22/16 10:00:00 PM,21.103,,,,
116,12/22/16 10:30:00 PM,21.103,,,,
117,12/22/16 11:00:00 PM,21.127,,,,
118,12/22/16 11:30:00 PM,21.151,,,,
119,12/23/16 12:00:00 AM,21.151,,,,
120,12/23/16 12:30:00 AM,21.151,,,,
121,12/23/16 01:00:00 AM,21.151,,,,
122,12/23/16 01:30:00 AM,21.151,,,,
123,12/23/16 02:00:00 AM,21.127,,,,
124,12/23/16 02:30:00 AM,21.127,,,,
125,12/23/16 03:00:00 AM,21.127,,,,
126,12/23/16 03:30:00 AM,21.127,,,,
127,12/23/16 04:00:00 AM,21.127,,,,
128,12/23/16 04:30:00 AM,21.127,,,,
129,12/23/16 05:00:00 AM,21.127,,,,
130,12/23/16 05:30:00 AM,21.127,,,,
131,12/23/16 06:00:00 AM,21.127,,,,
132,12/23/16 06:30:00 AM,21.127,,,,
133,12/23/16 07:00:00 AM,21.127,,,,
134,12/23/16 07:30:00 AM,21.127,,,,
135,12/23/16 08:00:00 AM,21.127,,,,
136,12/23/16 08:30:00 AM,21.127,,,,
137,12/23/16 09:00:00 AM,21.151,,,,
138,12/23/16 09:30:00 AM,21.151,,,,
139,12/23/16 10:00:00 AM,21.151,,,,
140,12/23/16 10:30:00 AM,21.151,,,,
141,12/23/16 11:00:00 AM,21.175,,,,
142,12/23/16 11:30:00 AM,21.175,,,,
143,12/23/16 12:00:00 PM,21.199,,,,
144,12/23/16 12:30:00 PM,21.223,,,,
145,12/23/16 01:00:00 PM,21.246,,,,
146,12/23/16 01:30:00 PM,21.270,,,,
147,12/23/16 02:00:00 PM,21.294,,,,
148,12/23/16 02:30:00 PM,21.318,,,,
149,12/23/16 03:00:00 PM,21.342,,,,
150,12/23/16 03:30:00 PM,21.342,,,,
151,12/23/16 04:00:00 PM,21.366,,,,
152,12/23/16 04:30:00 PM,21.390,,,,
153,12/23/16 05:00:00 PM,21.413,,,,
154,12/23/16 05:30:00 PM,21.413,,,,
155,12/23/16 06:00:00 PM,21.413,,,,
156,12/23/16 06:30:00 PM,21.413,,,,
157,12/23/16 07:00:00 PM,21.437,,,,
158,12/23/16 07:30:00 PM,21.437,,,,
159,12/23/16 08:00:00 PM,21.437,,,,
160,12/23/16 08:30:00 PM,21.437,,,,
161,12/23/16 09:00:00 PM,21.437,,,,
162,12/23/16 09:30:00 PM,21.437,,,,
163,12/23/16 10:00:00 PM,21.437,,,,
164,12/23/16 10:30:00 PM,21.437,,,,
165,12/23/16 11:00:00 PM,21.437,,,,
166,12/23/16 11:30:00 PM,21.437,,,,
167,12/24/16 12:00:00 AM,21.437,,,,
168,12/24/16 12:30:00 AM,21.437,,,,
169,12/24/16 01:00:00 AM,21.437,,,,
170,12/24/16 01:30:00 AM,21.413,,,,
171,12/24/16 02:00:00 AM,21.390,,,,
172,12/24/16 02:30:00 AM,21.390,,,,
173,12/24/16 03:00:00 AM,21.366,,,,
174,12/24/16 03:30:00 AM,21.366,,,,
175,12/24/16 04:00:00 AM,21.366,,,,
176,12/24/16 04:30:00 AM,21.366,,,,
177,12/24/16 05:00:00 AM,21.366,,,,
178,12/24/16 05:30:00 AM,21.366,,,,
179,12/24/16 06:00:00 AM,21.342,,,,
180,12/24/16 06:30:00 AM,21.342,,,,
181,12/24/16 07:00:00 AM,21.342,,,,
182,12/24/16 07:30:00 AM,21.342,,,,
