Time Point,Cold.temp,Ambient.temp,
12/21/2016 13:30,8.145,11.394,
12/21/2016 14:00,8.145,11.443,
12/21/2016 14:30,8.195,11.516,
12/21/2016 15:00,8.22,11.589,
12/21/2016 15:30,7.494,11.613,
12/21/2016 16:00,6.99,11.662,
12/21/2016 16:30,7.015,11.686,
12/21/2016 17:00,7.091,11.662,
12/21/2016 17:30,7.167,11.637,
12/21/2016 18:00,7.242,11.54,
12/21/2016 18:30,7.268,11.443,
12/21/2016 19:00,7.293,11.346,
12/21/2016 19:30,7.293,11.248,
12/21/2016 20:00,7.293,11.175,
12/21/2016 20:30,7.318,11.102,
12/21/2016 21:00,7.293,11.029,
12/21/2016 21:30,7.268,10.956,
12/21/2016 22:00,7.217,10.907,
12/21/2016 22:30,7.217,10.858,
12/21/2016 23:00,7.142,10.834,
12/21/2016 23:30,7.116,10.81,
12/22/2016 00:00,7.116,10.785,
12/22/2016 00:30,7.041,10.785,
12/22/2016 01:00,6.965,10.81,
12/22/2016 01:30,7.015,10.834,
12/22/2016 02:00,7.041,10.858,
12/22/2016 02:30,7.091,10.883,
12/22/2016 03:00,7.116,10.907,
12/22/2016 03:30,7.192,10.907,
12/22/2016 04:00,7.242,10.907,
12/22/2016 04:30,7.242,10.932,
12/22/2016 05:00,7.293,10.932,
12/22/2016 05:30,7.293,10.932,
12/22/2016 06:00,7.242,10.932,
12/22/2016 06:30,7.268,10.956,
12/22/2016 07:00,7.242,10.956,
12/22/2016 07:30,7.192,10.956,
12/22/2016 08:00,7.142,10.932,
12/22/2016 08:30,7.116,10.907,
12/22/2016 09:00,7.091,10.907,
12/22/2016 09:30,7.066,10.956,
12/22/2016 10:00,6.99,11.029,
12/22/2016 10:30,6.965,11.102,
12/22/2016 11:00,6.382,11.151,
12/22/2016 11:30,6,11.224,
12/22/2016 12:00,6.23,11.297,
12/22/2016 12:30,6.204,11.37,
12/22/2016 13:00,6.051,11.419,
12/22/2016 13:30,6.306,11.492,
12/22/2016 14:00,5.975,11.54,
12/22/2016 14:30,6.23,11.589,
12/22/2016 15:00,5.924,11.637,
12/22/2016 15:30,6.179,11.662,
12/22/2016 16:00,5.975,11.662,
12/22/2016 16:30,6.077,11.613,
12/22/2016 17:00,6.306,11.589,
12/22/2016 17:30,5.898,11.589,
12/22/2016 18:00,6.128,11.589,
12/22/2016 18:30,6.281,11.565,
12/22/2016 19:00,6.051,11.492,
12/22/2016 19:30,5.975,11.394,
12/22/2016 20:00,6.153,11.273,
12/22/2016 20:30,6.281,11.2,
12/22/2016 21:00,6.102,11.127,
12/22/2016 21:30,5.949,11.078,
12/22/2016 22:00,6.128,11.005,
12/22/2016 22:30,6.255,10.956,
12/22/2016 23:00,6.204,10.907,
12/22/2016 23:30,5.924,10.883,
12/23/2016 00:00,6.077,10.858,
12/23/2016 00:30,6.23,10.834,
12/23/2016 01:00,6.23,10.834,
12/23/2016 01:30,6,10.81,
12/23/2016 02:00,5.975,10.834,
12/23/2016 02:30,6.179,10.858,
12/23/2016 03:00,6.306,10.883,
12/23/2016 03:30,5.975,10.907,
12/23/2016 04:00,5.975,10.907,
12/23/2016 04:30,6.128,10.932,
12/23/2016 05:00,6.281,10.932,
