"Plot Title: NF-6 low pH A"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20031752, SEN S/N: 20031752)","Coupler Detached (LGR S/N: 20031752, SEN S/N: 20031752)","Coupler Attached (LGR S/N: 20031752, SEN S/N: 20031752)","Host Connected (LGR S/N: 20031752, SEN S/N: 20031752)","End Of File (LGR S/N: 20031752, SEN S/N: 20031752)"
1,05/09/17 02:30:00 PM,19.294,Logged,,,
2,05/09/17 02:45:00 PM,18.200,,,,
3,05/09/17 03:00:00 PM,18.200,,,,
4,05/09/17 03:15:00 PM,18.224,,,,
5,05/09/17 03:30:00 PM,18.200,,,,
6,05/09/17 03:45:00 PM,18.176,,,,
7,05/09/17 04:00:00 PM,18.224,,,,
8,05/09/17 04:15:00 PM,18.247,,,,
9,05/09/17 04:30:00 PM,18.295,,,,
10,05/09/17 04:45:00 PM,18.343,,,,
11,05/09/17 05:00:00 PM,18.390,,,,
12,05/09/17 05:15:00 PM,18.438,,,,
13,05/09/17 05:30:00 PM,18.485,,,,
14,05/09/17 05:45:00 PM,18.533,,,,
15,05/09/17 06:00:00 PM,18.580,,,,
16,05/09/17 06:15:00 PM,18.628,,,,
17,05/09/17 06:30:00 PM,18.675,,,,
18,05/09/17 06:45:00 PM,18.723,,,,
19,05/09/17 07:00:00 PM,18.771,,,,
20,05/09/17 07:15:00 PM,18.794,,,,
21,05/09/17 07:30:00 PM,18.842,,,,
22,05/09/17 07:45:00 PM,18.889,,,,
23,05/09/17 08:00:00 PM,18.937,,,,
24,05/09/17 08:15:00 PM,18.961,,,,
25,05/09/17 08:30:00 PM,19.008,,,,
26,05/09/17 08:45:00 PM,19.056,,,,
27,05/09/17 09:00:00 PM,19.080,,,,
28,05/09/17 09:15:00 PM,19.103,,,,
29,05/09/17 09:30:00 PM,19.151,,,,
30,05/09/17 09:45:00 PM,19.175,,,,
31,05/09/17 10:00:00 PM,19.199,,,,
32,05/09/17 10:15:00 PM,19.222,,,,
33,05/09/17 10:30:00 PM,19.246,,,,
34,05/09/17 10:45:00 PM,19.246,,,,
35,05/09/17 11:00:00 PM,19.270,,,,
36,05/09/17 11:15:00 PM,19.294,,,,
37,05/09/17 11:30:00 PM,19.294,,,,
38,05/09/17 11:45:00 PM,19.318,,,,
39,05/10/17 12:00:00 AM,19.318,,,,
40,05/10/17 12:15:00 AM,19.318,,,,
41,05/10/17 12:30:00 AM,19.318,,,,
42,05/10/17 12:45:00 AM,19.318,,,,
43,05/10/17 01:00:00 AM,19.294,,,,
44,05/10/17 01:15:00 AM,19.294,,,,
45,05/10/17 01:30:00 AM,19.294,,,,
46,05/10/17 01:45:00 AM,19.270,,,,
47,05/10/17 02:00:00 AM,19.270,,,,
48,05/10/17 02:15:00 AM,19.246,,,,
49,05/10/17 02:30:00 AM,19.246,,,,
50,05/10/17 02:45:00 AM,19.222,,,,
51,05/10/17 03:00:00 AM,19.199,,,,
52,05/10/17 03:15:00 AM,19.175,,,,
53,05/10/17 03:30:00 AM,19.175,,,,
54,05/10/17 03:45:00 AM,19.151,,,,
55,05/10/17 04:00:00 AM,19.127,,,,
56,05/10/17 04:15:00 AM,19.103,,,,
57,05/10/17 04:30:00 AM,19.080,,,,
58,05/10/17 04:45:00 AM,19.056,,,,
59,05/10/17 05:00:00 AM,19.032,,,,
60,05/10/17 05:15:00 AM,19.008,,,,
61,05/10/17 05:30:00 AM,19.008,,,,
62,05/10/17 05:45:00 AM,18.985,,,,
63,05/10/17 06:00:00 AM,18.961,,,,
64,05/10/17 06:15:00 AM,18.937,,,,
65,05/10/17 06:30:00 AM,18.913,,,,
66,05/10/17 06:45:00 AM,18.889,,,,
67,05/10/17 07:00:00 AM,18.866,,,,
