"Plot Title: 10397702_waterbath_amb"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10397702, SEN S/N: 10397702)","Host Connected (LGR S/N: 10397702)","Coupler Attached (LGR S/N: 10397702)","Stopped (LGR S/N: 10397702)","End Of File (LGR S/N: 10397702)"
1,02/11/17 09:00:00 AM,16.046,,,,
2,02/11/17 09:30:00 AM,16.046,,,,
3,02/11/17 10:00:00 AM,15.951,,,,
4,02/11/17 10:30:00 AM,16.141,,,,
5,02/11/17 11:00:00 AM,17.855,,,,
6,02/11/17 11:30:00 AM,15.569,,,,
7,02/11/17 12:00:00 PM,14.996,,,,
8,02/11/17 12:30:00 PM,14.900,,,,
9,02/11/17 01:00:00 PM,14.900,,,,
10,02/11/17 01:30:00 PM,14.709,,,,
11,02/11/17 02:00:00 PM,14.325,,,,
12,02/11/17 02:30:00 PM,13.461,,,,
13,02/11/17 03:00:00 PM,13.365,,,,
14,02/11/17 03:30:00 PM,13.365,,,,
15,02/11/17 04:00:00 PM,13.269,,,,
16,02/11/17 04:30:00 PM,13.269,,,,
17,02/11/17 05:00:00 PM,13.269,,,,
18,02/11/17 05:30:00 PM,9.472,,,,
19,02/11/17 06:00:00 PM,9.571,,,,
20,02/11/17 06:30:00 PM,9.571,,,,
21,02/11/17 07:00:00 PM,9.669,,,,
22,02/11/17 07:30:00 PM,9.669,,,,
23,02/11/17 08:00:00 PM,9.768,,,,
24,02/11/17 08:30:00 PM,9.768,,,,
25,02/11/17 09:00:00 PM,9.866,,,,
26,02/11/17 09:30:00 PM,9.866,,,,
27,02/11/17 10:00:00 PM,11.528,,,,
28,02/11/17 10:30:00 PM,9.768,,,,
29,02/11/17 11:00:00 PM,9.866,,,,
30,02/11/17 11:30:00 PM,9.866,,,,
31,02/12/17 12:00:00 AM,9.866,,,,
32,02/12/17 12:30:00 AM,9.965,,,,
33,02/12/17 01:00:00 AM,9.965,,,,
34,02/12/17 01:30:00 AM,9.965,,,,
35,02/12/17 02:00:00 AM,9.965,,,,
36,02/12/17 02:30:00 AM,9.965,,,,
37,02/12/17 03:00:00 AM,9.965,,,,
38,02/12/17 03:30:00 AM,9.965,,,,
39,02/12/17 04:00:00 AM,9.866,,,,
40,02/12/17 04:30:00 AM,9.866,,,,
41,02/12/17 05:00:00 AM,9.965,,,,
42,02/12/17 05:30:00 AM,9.965,,,,
