"Plot Title: 10397703_waterbath_high"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10397703, SEN S/N: 10397703)","Coupler Attached (LGR S/N: 10397703)","Host Connected (LGR S/N: 10397703)","Stopped (LGR S/N: 10397703)","End Of File (LGR S/N: 10397703)"
1,02/11/17 09:00:00 AM,16.141,,,,
2,02/11/17 09:30:00 AM,16.046,,,,
3,02/11/17 10:00:00 AM,15.378,,,,
4,02/11/17 10:30:00 AM,16.046,,,,
5,02/11/17 11:00:00 AM,18.140,,,,
6,02/11/17 11:30:00 AM,15.664,,,,
7,02/11/17 12:00:00 PM,14.996,,,,
8,02/11/17 12:30:00 PM,14.804,,,,
9,02/11/17 01:00:00 PM,14.900,,,,
10,02/11/17 01:30:00 PM,14.709,,,,
11,02/11/17 02:00:00 PM,14.134,,,,
12,02/11/17 02:30:00 PM,13.558,,,,
13,02/11/17 03:00:00 PM,13.461,,,,
14,02/11/17 03:30:00 PM,13.654,,,,
15,02/11/17 04:00:00 PM,13.558,,,,
16,02/11/17 04:30:00 PM,13.461,,,,
17,02/11/17 05:00:00 PM,13.461,,,,
18,02/11/17 05:30:00 PM,9.373,,,,
19,02/11/17 06:00:00 PM,9.472,,,,
20,02/11/17 06:30:00 PM,9.472,,,,
21,02/11/17 07:00:00 PM,9.571,,,,
22,02/11/17 07:30:00 PM,9.571,,,,
23,02/11/17 08:00:00 PM,9.669,,,,
24,02/11/17 08:30:00 PM,9.768,,,,
25,02/11/17 09:00:00 PM,9.768,,,,
26,02/11/17 09:30:00 PM,9.866,,,,
27,02/11/17 10:00:00 PM,11.916,,,,
28,02/11/17 10:30:00 PM,9.768,,,,
29,02/11/17 11:00:00 PM,9.768,,,,
30,02/11/17 11:30:00 PM,9.768,,,,
31,02/12/17 12:00:00 AM,9.866,,,,
32,02/12/17 12:30:00 AM,9.866,,,,
33,02/12/17 01:00:00 AM,9.866,,,,
34,02/12/17 01:30:00 AM,9.866,,,,
35,02/12/17 02:00:00 AM,9.866,,,,
36,02/12/17 02:30:00 AM,9.866,,,,
37,02/12/17 03:00:00 AM,9.866,,,,
38,02/12/17 03:30:00 AM,9.866,,,,
39,02/12/17 04:00:00 AM,9.866,,,,
40,02/12/17 04:30:00 AM,9.866,,,,
41,02/12/17 05:00:00 AM,9.866,,,,
42,02/12/17 05:30:00 AM,9.866,,,,
43,02/12/17 06:00:00 AM,9.866,,,,
44,02/12/17 06:30:00 AM,9.866,,,,
45,02/12/17 07:00:00 AM,9.866,,,,
46,02/12/17 07:30:00 AM,9.866,,,,
47,02/12/17 08:00:00 AM,9.866,,,,
48,02/12/17 08:30:00 AM,9.866,,,,
49,02/12/17 09:00:00 AM,9.965,,,,
50,02/12/17 09:30:00 AM,9.965,,,,
51,02/12/17 10:00:00 AM,9.965,,,,
52,02/12/17 10:30:00 AM,9.965,,,,
53,02/12/17 11:00:00 AM,9.965,,,,
54,02/12/17 11:30:00 AM,9.965,,,,
55,02/12/17 12:00:00 PM,10.063,,,,
56,02/12/17 12:30:00 PM,10.063,,,,
57,02/12/17 01:00:00 PM,10.063,,,,
58,02/12/17 01:30:00 PM,10.063,,,,
59,02/12/17 02:00:00 PM,10.063,,,,
60,02/12/17 02:30:00 PM,10.063,,,,
61,02/12/17 03:00:00 PM,10.063,,,,
62,02/12/17 03:30:00 PM,10.063,,,,
63,02/12/17 04:00:00 PM,10.063,,,,
64,02/12/17 04:30:00 PM,10.063,,,,
65,02/12/17 05:00:00 PM,10.063,,,,
66,02/12/17 05:30:00 PM,10.063,,,,
67,02/12/17 06:00:00 PM,10.063,,,,
68,02/12/17 06:30:00 PM,10.063,,,,
69,02/12/17 07:00:00 PM,10.063,,,,
70,02/12/17 07:30:00 PM,10.063,,,,
71,02/12/17 08:00:00 PM,10.063,,,,
72,02/12/17 08:30:00 PM,10.063,,,,
73,02/12/17 09:00:00 PM,10.063,,,,
74,02/12/17 09:30:00 PM,10.063,,,,
75,02/12/17 10:00:00 PM,10.063,,,,
76,02/12/17 10:30:00 PM,10.063,,,,
77,02/12/17 11:00:00 PM,10.063,,,,
78,02/12/17 11:30:00 PM,9.965,,,,
79,02/13/17 12:00:00 AM,9.965,,,,
80,02/13/17 12:30:00 AM,9.965,,,,
81,02/13/17 01:00:00 AM,9.866,,,,
82,02/13/17 01:30:00 AM,9.866,,,,
83,02/13/17 02:00:00 AM,9.866,,,,
84,02/13/17 02:30:00 AM,9.866,,,,
85,02/13/17 03:00:00 AM,9.866,,,,
86,02/13/17 03:30:00 AM,9.866,,,,
87,02/13/17 04:00:00 AM,9.768,,,,
88,02/13/17 04:30:00 AM,9.768,,,,
89,02/13/17 05:00:00 AM,9.768,,,,
90,02/13/17 05:30:00 AM,9.768,,,,
91,02/13/17 06:00:00 AM,9.768,,,,
92,02/13/17 06:30:00 AM,9.768,,,,
93,02/13/17 07:00:00 AM,9.768,,,,
94,02/13/17 07:30:00 AM,9.768,,,,
95,02/13/17 08:00:00 AM,9.768,,,,
96,02/13/17 08:30:00 AM,9.768,,,,
97,02/13/17 09:00:00 AM,9.768,,,,
98,02/13/17 09:30:00 AM,9.768,,,,
99,02/13/17 10:00:00 AM,9.866,,,,
100,02/13/17 10:30:00 AM,9.866,,,,
101,02/13/17 11:00:00 AM,9.866,,,,
102,02/13/17 11:30:00 AM,9.866,,,,
103,02/13/17 12:00:00 PM,9.965,,,,
104,02/13/17 12:30:00 PM,9.965,,,,
105,02/13/17 01:00:00 PM,10.063,,,,
106,02/13/17 01:30:00 PM,9.965,,,,
107,02/13/17 02:00:00 PM,9.866,,,,
108,02/13/17 02:30:00 PM,9.768,,,,
109,02/13/17 03:00:00 PM,9.768,,,,
110,02/13/17 03:30:00 PM,9.669,,,,
111,02/13/17 04:00:00 PM,9.571,,,,
112,02/13/17 04:30:00 PM,9.571,,,,
113,02/13/17 05:00:00 PM,9.472,,,,
