"Plot Title: Tank 4_20084918"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20084918, SEN S/N: 20084918)","Coupler Attached (LGR S/N: 20084918)","Host Connected (LGR S/N: 20084918)","Stopped (LGR S/N: 20084918)","End Of File (LGR S/N: 20084918)"
1,02/28/17 07:00:00 PM,23.581,,,,
2,02/28/17 07:15:00 PM,23.292,,,,
3,02/28/17 07:30:00 PM,23.100,,,,
4,02/28/17 07:45:00 PM,21.855,,,,
5,02/28/17 08:00:00 PM,21.187,,,,
6,02/28/17 08:15:00 PM,20.710,,,,
7,02/28/17 08:30:00 PM,20.424,,,,
8,02/28/17 08:45:00 PM,20.138,,,,
9,02/28/17 09:00:00 PM,19.948,,,,
10,02/28/17 09:15:00 PM,19.758,,,,
11,02/28/17 09:30:00 PM,19.567,,,,
12,02/28/17 09:45:00 PM,19.377,,,,
13,02/28/17 10:00:00 PM,19.187,,,,
14,02/28/17 10:15:00 PM,18.996,,,,
15,02/28/17 10:30:00 PM,18.616,,,,
16,02/28/17 10:45:00 PM,18.140,,,,
17,02/28/17 11:00:00 PM,17.760,,,,
18,02/28/17 11:15:00 PM,17.379,,,,
19,02/28/17 11:30:00 PM,16.999,,,,
20,02/28/17 11:45:00 PM,16.618,,,,
21,03/01/17 12:00:00 AM,16.332,,,,
22,03/01/17 12:15:00 AM,15.951,,,,
23,03/01/17 12:30:00 AM,15.664,,,,
24,03/01/17 12:45:00 AM,15.378,,,,
25,03/01/17 01:00:00 AM,15.091,,,,
26,03/01/17 01:15:00 AM,14.900,,,,
27,03/01/17 01:30:00 AM,14.709,,,,
28,03/01/17 01:45:00 AM,14.517,,,,
29,03/01/17 02:00:00 AM,14.325,,,,
30,03/01/17 02:15:00 AM,14.134,,,,
31,03/01/17 02:30:00 AM,14.038,,,,
32,03/01/17 02:45:00 AM,13.846,,,,
33,03/01/17 03:00:00 AM,13.750,,,,
34,03/01/17 03:15:00 AM,13.558,,,,
35,03/01/17 03:30:00 AM,13.461,,,,
36,03/01/17 03:45:00 AM,13.365,,,,
37,03/01/17 04:00:00 AM,13.269,,,,
38,03/01/17 04:15:00 AM,13.173,,,,
39,03/01/17 04:30:00 AM,13.076,,,,
40,03/01/17 04:45:00 AM,12.980,,,,
41,03/01/17 05:00:00 AM,12.883,,,,
42,03/01/17 05:15:00 AM,12.883,,,,
43,03/01/17 05:30:00 AM,12.980,,,,
44,03/01/17 05:45:00 AM,12.980,,,,
45,03/01/17 06:00:00 AM,13.173,,,,
46,03/01/17 06:15:00 AM,13.269,,,,
47,03/01/17 06:30:00 AM,13.461,,,,
48,03/01/17 06:45:00 AM,14.613,,,,
49,03/01/17 07:00:00 AM,14.996,,,,
50,03/01/17 07:15:00 AM,14.996,,,,
51,03/01/17 07:30:00 AM,14.421,,,,
52,03/01/17 07:45:00 AM,13.461,,,,
53,03/01/17 08:00:00 AM,12.690,,,,
54,03/01/17 08:15:00 AM,12.401,,,,
55,03/01/17 08:30:00 AM,12.594,,,,
56,03/01/17 08:45:00 AM,12.883,,,,
57,03/01/17 09:00:00 AM,13.076,,,,
58,03/01/17 09:15:00 AM,13.173,,,,
59,03/01/17 09:30:00 AM,13.076,,,,
60,03/01/17 09:45:00 AM,13.173,,,,
61,03/01/17 10:00:00 AM,13.269,,,,
62,03/01/17 10:15:00 AM,13.365,,,,
63,03/01/17 10:30:00 AM,13.558,,,,
64,03/01/17 10:45:00 AM,13.846,,,,
65,03/01/17 11:00:00 AM,14.038,,,,
66,03/01/17 11:15:00 AM,14.325,,,,
67,03/01/17 11:30:00 AM,14.517,,,,
68,03/01/17 11:45:00 AM,14.804,,,,
69,03/01/17 12:00:00 PM,15.091,,,,
70,03/01/17 12:15:00 PM,15.282,,,,
71,03/01/17 12:30:00 PM,14.900,,,,
72,03/01/17 12:45:00 PM,14.804,,,,
73,03/01/17 01:00:00 PM,14.900,,,,
74,03/01/17 01:02:54 PM,,Logged,Logged,,
75,03/01/17 01:03:04 PM,,,,Logged,Logged
