"Plot Title: Tank 6_20084920"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20084920, SEN S/N: 20084920)","Host Connected (LGR S/N: 20084920)","Coupler Attached (LGR S/N: 20084920)","Stopped (LGR S/N: 20084920)","End Of File (LGR S/N: 20084920)"
1,02/28/17 07:00:00 PM,23.773,,,,
2,02/28/17 07:15:00 PM,23.581,,,,
3,02/28/17 07:30:00 PM,23.292,,,,
4,02/28/17 07:45:00 PM,22.429,,,,
5,02/28/17 08:00:00 PM,21.855,,,,
6,02/28/17 08:15:00 PM,21.378,,,,
7,02/28/17 08:30:00 PM,20.901,,,,
8,02/28/17 08:45:00 PM,20.615,,,,
9,02/28/17 09:00:00 PM,20.329,,,,
10,02/28/17 09:15:00 PM,20.043,,,,
11,02/28/17 09:30:00 PM,19.853,,,,
12,02/28/17 09:45:00 PM,19.567,,,,
13,02/28/17 10:00:00 PM,19.472,,,,
14,02/28/17 10:15:00 PM,19.092,,,,
15,02/28/17 10:30:00 PM,18.711,,,,
16,02/28/17 10:45:00 PM,18.331,,,,
17,02/28/17 11:00:00 PM,17.950,,,,
18,02/28/17 11:15:00 PM,17.570,,,,
19,02/28/17 11:30:00 PM,17.189,,,,
20,02/28/17 11:45:00 PM,16.808,,,,
21,03/01/17 12:00:00 AM,16.523,,,,
22,03/01/17 12:15:00 AM,16.141,,,,
23,03/01/17 12:30:00 AM,15.855,,,,
24,03/01/17 12:45:00 AM,15.569,,,,
25,03/01/17 01:00:00 AM,15.282,,,,
26,03/01/17 01:15:00 AM,15.091,,,,
27,03/01/17 01:30:00 AM,14.804,,,,
28,03/01/17 01:45:00 AM,14.709,,,,
29,03/01/17 02:00:00 AM,14.517,,,,
30,03/01/17 02:15:00 AM,14.325,,,,
31,03/01/17 02:30:00 AM,14.134,,,,
32,03/01/17 02:45:00 AM,14.038,,,,
33,03/01/17 03:00:00 AM,13.846,,,,
34,03/01/17 03:15:00 AM,13.750,,,,
35,03/01/17 03:30:00 AM,13.654,,,,
36,03/01/17 03:45:00 AM,13.461,,,,
37,03/01/17 04:00:00 AM,13.365,,,,
38,03/01/17 04:15:00 AM,13.269,,,,
39,03/01/17 04:30:00 AM,13.269,,,,
40,03/01/17 04:45:00 AM,13.173,,,,
41,03/01/17 05:00:00 AM,13.076,,,,
42,03/01/17 05:15:00 AM,13.076,,,,
43,03/01/17 05:30:00 AM,13.173,,,,
44,03/01/17 05:45:00 AM,13.269,,,,
45,03/01/17 06:00:00 AM,13.365,,,,
46,03/01/17 06:15:00 AM,13.558,,,,
47,03/01/17 06:30:00 AM,13.750,,,,
48,03/01/17 06:45:00 AM,15.091,,,,
49,03/01/17 07:00:00 AM,15.569,,,,
50,03/01/17 07:15:00 AM,15.282,,,,
51,03/01/17 07:30:00 AM,14.134,,,,
52,03/01/17 07:45:00 AM,13.461,,,,
53,03/01/17 08:00:00 AM,12.787,,,,
54,03/01/17 08:15:00 AM,13.076,,,,
55,03/01/17 08:30:00 AM,13.269,,,,
56,03/01/17 08:45:00 AM,13.461,,,,
57,03/01/17 09:00:00 AM,13.461,,,,
58,03/01/17 09:15:00 AM,13.365,,,,
59,03/01/17 09:30:00 AM,13.558,,,,
60,03/01/17 09:45:00 AM,13.654,,,,
61,03/01/17 10:00:00 AM,13.846,,,,
62,03/01/17 10:15:00 AM,14.038,,,,
63,03/01/17 10:30:00 AM,14.325,,,,
64,03/01/17 10:45:00 AM,14.613,,,,
65,03/01/17 11:00:00 AM,14.804,,,,
66,03/01/17 11:15:00 AM,14.996,,,,
67,03/01/17 11:30:00 AM,15.187,,,,
68,03/01/17 11:45:00 AM,15.473,,,,
69,03/01/17 12:00:00 PM,15.855,,,,
70,03/01/17 12:15:00 PM,15.951,,,,
71,03/01/17 12:30:00 PM,15.378,,,,
72,03/01/17 12:45:00 PM,15.091,,,,
73,03/01/17 01:00:00 PM,15.187,,,,
74,03/01/17 01:01:05 PM,,Logged,,,
75,03/01/17 01:01:06 PM,,,Logged,,
76,03/01/17 01:01:16 PM,,,,Logged,Logged
