Timestamp,"OA Monitor - Temp 1 - Temperature (°C)","OA Monitor - Temp 2 - Temperature (°C)","OA Monitor - Temp-w 3 - Temperature (°C)","OA Monitor - Temp-w 4 - Temperature (°C)","OA Monitor - Wish-01 - Internal Temperature - Temperature (°C)"
"2017-04-24 11:17:42",14.87,14.75,9.68,13.87,24.9
"2017-04-24 11:49:11",15.06,14.93,9.75,13.81,25.3
"2017-04-24 12:07:30",14.81,14.75,9.81,13.93,25.4
"2017-04-24 13:07:34",15.5,15.31,9.93,14.18,25.8
"2017-04-24 13:24:58",15.81,15.75,10,14.18,26.1
"2017-04-24 13:25:57",16,15.75,10,14.18,26.1
"2017-04-24 14:26:01",16.81,16.56,10,14.18,27.1
"2017-04-24 15:26:05",16.31,16.43,9.81,14,27.5
"2017-04-24 16:26:08",16.31,16.37,9.62,13.68,26.6
"2017-04-24 17:26:12",16.06,16.18,9.68,13.75,25.7
"2017-04-24 18:26:16",16.56,16.5,9.56,13.62,24.7
"2017-04-24 19:26:19",16.31,16.37,9.62,13.62,23.8
"2017-04-24 20:26:23",16.06,16.12,9.56,13.43,23
"2017-04-24 21:26:26",15.75,15.81,9.56,13.43,22.1
"2017-04-24 22:26:29",15.68,15.75,9.62,13.37,22.2
"2017-04-24 23:26:33",15.56,15.62,9.68,13.5,21.9
"2017-04-25 00:26:37",15.37,15.5,9.68,13.5,21.5
"2017-04-25 01:26:40",15.18,15.37,9.75,13.62,21.2
"2017-04-25 02:26:44",15.5,15.62,9.75,13.5,21.8
"2017-04-25 03:26:47",15.31,15.37,9.56,13.5,21.9
"2017-04-25 04:26:51",15.12,15.18,9.37,13.18,21.2
"2017-04-25 05:26:54",15.43,15.5,9.31,13.12,22.2
"2017-04-25 06:26:58",15.06,15.12,9.31,13.06,21.4
"2017-04-25 07:27:02",15.37,15.43,9.37,13.18,22.3
"2017-04-25 08:27:06",15.06,15.12,9.37,13.18,21.6
"2017-04-25 09:27:08",15.31,15.25,9.5,14.25,23.7
"2017-04-25 10:27:12",15.62,14.93,9.81,11.93,25.9
"2017-04-25 11:27:15",15.43,14.75,9.87,12.68,25.6
"2017-04-25 12:27:19",15.25,15,9.87,12.75,26.1
"2017-04-25 13:27:23",15.68,15.37,10,12.87,26.4
"2017-04-25 14:27:26",16.31,15.81,10.12,12.93,27.2
"2017-04-25 15:27:30",15.75,15.81,9.87,12.87,27.1
"2017-04-25 16:27:33",15.81,15.87,9.62,12.62,26.8
"2017-04-25 17:27:37",16,16,9.5,12.93,27.6
