Timestamp,"OA Monitor - Durafet 3 - Analog Computed (pH)","OA Monitor - Durafet 2 - Analog Computed (pH)","OA Monitor - Durafet 1 - Analog Computed (pH)"
"2017-04-24 11:17:42",7.78,7.65,7.6
"2017-04-24 11:49:11",7.78,7.65,7.63
"2017-04-24 12:07:30",7.78,7.6,7.6
"2017-04-24 13:07:34",7.78,7.65,7.6
"2017-04-24 13:24:58",7.78,7.65,7.63
"2017-04-24 13:25:57",7.78,7.65,7.6
"2017-04-24 14:26:01",7.78,7.7,7.6
"2017-04-24 15:26:05",7.7,7.6,7.58
"2017-04-24 16:26:08",7.65,7.6,7.55
"2017-04-24 17:26:12",7.65,7.58,7.5
"2017-04-24 18:26:16",7.65,7.53,7.53
"2017-04-24 19:26:19",7.65,7.53,7.53
"2017-04-24 20:26:23",7.65,7.53,7.55
"2017-04-24 21:26:26",7.65,7.58,7.53
"2017-04-24 22:26:29",7.7,7.58,7.5
"2017-04-24 23:26:33",7.7,7.58,7.55
"2017-04-25 00:26:37",7.7,7.58,7.58
"2017-04-25 01:26:40",7.7,7.58,7.58
"2017-04-25 02:26:44",7.7,7.58,7.58
"2017-04-25 03:26:47",7.7,7.58,7.58
"2017-04-25 04:26:51",7.65,7.58,7.55
"2017-04-25 05:26:54",7.65,7.58,7.5
"2017-04-25 06:26:58",7.65,7.58,7.5
"2017-04-25 07:27:02",7.65,7.58,7.48
"2017-04-25 08:27:06",7.65,7.58,7.48
"2017-04-25 09:27:08",7.7,7.58,7.53
"2017-04-25 10:27:12",7.7,7.58,7.7
"2017-04-25 11:27:15",7.7,7.6,7.7
"2017-04-25 12:27:19",7.7,7.58,7.7
"2017-04-25 13:27:23",7.7,7.6,7.73
"2017-04-25 14:27:26",7.7,7.6,7.7
"2017-04-25 15:27:30",7.65,7.58,7.68
"2017-04-25 16:27:33",7.6,7.53,7.63
"2017-04-25 17:27:37",7.65,7.53,7.65
"2017-04-25 18:27:40",7.65,7.53,7.68
"2017-04-25 19:27:44",7.65,7.53,7.65
"2017-04-25 20:27:48",7.65,7.58,7.65
"2017-04-25 21:27:52",7.65,7.58,7.68
"2017-04-25 22:27:55",7.65,7.58,7.65
"2017-04-25 23:27:59",7.7,7.58,7.68
"2017-04-26 00:28:02",7.7,7.58,7.7
"2017-04-26 01:28:06",7.7,7.58,7.68
"2017-04-26 02:28:09",7.7,7.6,7.68
"2017-04-26 03:28:13",7.7,7.58,7.68
"2017-04-26 04:28:16",7.7,7.58,7.65
"2017-04-26 05:28:20",7.65,7.58,7.65
"2017-04-26 06:28:24",7.65,7.58,7.63
"2017-04-26 07:28:26",7.65,7.58,7.63
"2017-04-26 08:28:30",7.65,7.53,7.63
"2017-04-26 09:28:34",7.65,7.53,7.63
"2017-04-26 10:28:37",7.65,7.53,7.63
"2017-04-26 11:28:41",7.65,7.58,7.65
