"","Group","Count","Mean","SD","stocked","Perc.count","COHORT","TREATMENT","TEMP","PH"
"1","HL10-AMB",330,6.96060606060606,2.32399279016028,1311,25.1716247139588,"HL","10-AMB",10,"AMBIENT"
"2","HL10-LOW",280,6.55428571428571,2.89946432893686,1091,25.6645279560037,"HL","10-LOW",10,"LOW"
"3","HL6-AMB",482,6.48612033195021,1.93604803821603,501,96.2075848303393,"HL","6-AMB",6,"AMBIENT"
"4","HL6-LOW",627,4.85419457735247,2.28417729691469,834,75.1798561151079,"HL","6-LOW",6,"LOW"
"5","K10-AMB",100,10.712,3.67147645967387,259,38.6100386100386,"K","10-AMB",10,"AMBIENT"
"6","K10-LOW",102,13.4214705882353,4.36832895006295,122,83.6065573770492,"K","10-LOW",10,"LOW"
"7","K6-AMB",312,10.9560897435897,3.72311120005801,372,83.8709677419355,"K","6-AMB",6,"AMBIENT"
"8","K6-LOW",312,7.47907051282051,2.97602846685418,341,91.4956011730205,"K","6-LOW",6,"LOW"
"9","NF10-AMB",200,9.73965,3.04622583481321,661,30.2571860816944,"NF","10-AMB",10,"AMBIENT"
"10","NF10-LOW",74,12.3102702702703,5.3883491697614,77,96.1038961038961,"NF","10-LOW",10,"LOW"
"11","NF6-AMB",380,9.01544736842105,2.7293909088605,720,52.7777777777778,"NF","6-AMB",6,"AMBIENT"
"12","NF6-LOW",363,8.40380165289256,3.52281363319881,684,53.0701754385965,"NF","6-LOW",6,"LOW"
"13","SN10-AMB",47,11.0159574468085,3.78491264592464,54,87.037037037037,"SN","10-AMB",10,"AMBIENT"
"14","SN10-AMB-Exp",4,17.7325,1.43104565499032,4,100,"SN","10-AMB-Exp",10,"AMBIENT"
"15","SN10-LOW",27,12.2181481481481,4.20567477165083,35,77.1428571428572,"SN","10-LOW",10,"LOW"
"16","SN10-LOW-Exp",19,12.8863157894737,2.76898740121189,19,100,"SN","10-LOW-Exp",10,"LOW"
"17","SN6-AMB",120,11.18775,3.47891450821405,128,93.75,"SN","6-AMB",6,"AMBIENT"
"18","SN6-AMB-Exp",68,12.8770588235294,2.70099874221433,68,100,"SN","6-AMB-Exp",6,"AMBIENT"
"19","SN6-LOW",192,11.0123958333333,3.39663931376824,211,90.9952606635071,"SN","6-LOW",6,"LOW"
"20","SN6-LOW-Exp",194,10.5750515463918,3.33168914936595,194,100,"SN","6-LOW-Exp",6,"LOW"
