Run ID,Assay Name,Sample,Test Date,Qubit® tube conc.,Units,Original sample conc.,Units,Sample Volume (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
2019-08-06_162030,RNA High sensitivity,Standard 2,8/6/19 16:27,499,ng/mL,99.8,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1792.55
2019-08-06_162030,RNA High sensitivity,Standard 1,8/6/19 16:27,Out of range,ng/mL,Out of range,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,87.71
2019-08-06_162030,RNA High sensitivity,302,8/6/19 16:26,312,ng/mL,62.4,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1236.15
2019-08-06_162030,RNA High sensitivity,337,8/6/19 16:26,970,ng/mL,194,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,2797.31
2019-08-06_162030,RNA High sensitivity,336,8/6/19 16:26,474,ng/mL,94.8,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1724.05
2019-08-06_162030,RNA High sensitivity,333,8/6/19 16:26,393,ng/mL,78.6,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1489.69
2019-08-06_162030,RNA High sensitivity,332,8/6/19 16:26,329,ng/mL,65.8,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1290.06
2019-08-06_162030,RNA High sensitivity,331,8/6/19 16:26,211,ng/mL,42.2,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,888.37
2019-08-06_162030,RNA High sensitivity,328,8/6/19 16:25,780,ng/mL,156,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,2457.93
2019-08-06_162030,RNA High sensitivity,297,8/6/19 16:25,Out of range,ng/mL,Out of range,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,140.61
2019-08-06_162030,RNA High sensitivity,404,8/6/19 16:25,560,ng/mL,112,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1952.02
2019-08-06_162030,RNA High sensitivity,403,8/6/19 16:25,680,ng/mL,136,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,2229.5
2019-08-06_162030,RNA High sensitivity,347,8/6/19 16:24,345,ng/mL,69,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1343.56
2019-08-06_162030,RNA High sensitivity,346,8/6/19 16:24,218,ng/mL,43.6,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,915.2
2019-08-06_162030,RNA High sensitivity,343,8/6/19 16:24,570,ng/mL,114,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1983.92
2019-08-06_162030,RNA High sensitivity,342,8/6/19 16:24,810,ng/mL,162,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,2511.49
2019-08-06_162030,RNA High sensitivity,341,8/6/19 16:24,448,ng/mL,89.6,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1652.41
2019-08-06_162030,RNA High sensitivity,327,8/6/19 16:24,426,ng/mL,85.2,ng/µL,1,200,87.92,1795.81,,Red,Far Red,,1587.37
