Group,Population,Temperature,pH,Setter.grp, Count 
NF-10 Ambient,NF,10,Ambient,1,2103 
NF-10 Ambient,NF,10,Ambient,2,1633 
NF-10 Low ,NF,10,Low,1,2570 
NF-10 Low ,NF,10,Low,2,407 
NF-6 Ambient,NF,6,Ambient,1,6080 
NF-6 Ambient,NF,6,Ambient,2,5026 
NF-6 Low,NF,6,Low,1,702 
NF-6 Low,NF,6,Low,2,10699 
SN-10 Ambient,SN,10,Ambient,1,50942 
SN-10 Ambient,SN,10,Ambient,2,8987 
SN-10 Low ,SN,10,Low,1,5959 
SN-10 Low ,SN,10,Low,2,4554 
SN-6 Ambient,SN,6,Ambient,1,5640 
SN-6 Ambient,SN,6,Ambient,2,6291 
SN-6 Low,SN,6,Low,1,5041 
SN-6 Low,SN,6,Low,2,962 
HL-10 Ambient,HL,10,Ambient,1,6531 
HL-10 Ambient,HL,10,Ambient,2,7331 
HL-10 Low,HL,10,Low,1,9931 
HL-10 Low,HL,10,Low,2,9885 
HL-6 Ambient,HL,6,Ambient,2,2246 
HL-6 Low,HL,6,Low,2,10553 
K-10 Ambient,K,10,Ambient,1,10833 
K-10 Ambient,K,10,Ambient,2,2994 
K-10 Low ,K,10,Low,1,2440 
K-10 Low ,K,10,Low,2,471 
K-6 Ambient,K,6,Ambient,1,13514 
K-6 Ambient,K,6,Ambient,2,8672 
K-6 Low,K,6,Low,1,1396 
K-6 Low,K,6,Low,2,8339 
