Date,Spawning.Group,Group,Population,Treatment,Temperature,pH, Vol.counted ,Vol.total,CountA,CountB,CountC, Larvae.mL , Tot.Larvae ,Bucket
5/24/17,HL-10 Ambient,HL-10 Ambient,HL,10-Ambient,10,Ambient,0.5,800,131,137,118,257,205867,19
5/25/17,HL-10 Ambient,HL-10 Ambient,HL,10-Ambient,10,Ambient,0.5,420,30,41,23,63,26320,19
5/26/17,HL-10 Ambient,HL-10 Ambient,HL,10-Ambient,10,Ambient,0.5,200,5,7,9,14,2800,19
5/31/17,HL-10 Ambient,HL-10 Ambient,HL,10-Ambient,10,Ambient,0.25,900,107,110,147,485,436800,19
6/19/17,HL-10 Ambient,HL-10 Ambient,HL,10-Ambient,10,Ambient,0.5,500,68,73,62,135,67667,unknown
6/22/17,HL-10 Ambient,HL-10 Ambient,HL,10-Ambient,10,Ambient,3,320,18,11,15,5,1564,unknown
6/29/17,HL-10 Ambient,HL-10 Ambient,HL,10-Ambient,10,Ambient,0.5,800,123,134,112,246,196800,unknown
7/1/17,HL-10 Ambient,HL-10 Ambient,HL,10-Ambient,10,Ambient,2,220,16,11,18,8,1650,unknown
5/26/17,HL-10 Low,HL-10 Low,HL,10-Low,10,Low,0.5,800,x,33,35,68,54400,21
5/27/17,HL-10 Low,HL-10 Low,HL,10-Low,10,Low,0.5,910,140,146,156,295,268147,21
6/10/17,HL-10 Low,HL-10 Low,HL,10-Low,10,Low,0.5,825,100,84,87,181,149050,unknown
6/12/17,HL-10 Low,HL-10 Low,HL,10-Low,10,Low,0.5,825,121,94,105,213,176000,unknown
6/17/17,HL-10 Low,HL-10 Low,HL,10-Low,10,Low,0.5,800,31,25,33,59,47467,unknown
6/19/17,HL-10 Low,HL-10 Low,HL,10-Low,10,Low,2,250,1,2,0,1,125,unknown
6/24/17,HL-10 Low,HL-10 Low,HL,10-Low,10,Low,0.5,500,11,13,6,20,10000,unknown
6/12/17,HL-6 Ambient,HL-6 Ambient,HL,6-Ambient,6,Ambient,0.5,800,70,75,52,131,105067,unknown
7/6/17,HL-6 Ambient,HL-6 Ambient,HL,6-Ambient,6,Ambient,3,300,2,0,0,0,67,unknown
5/13/17,HL-6 Low,HL-6 Low,HL,6-Low,6,Low,1,50,78,65,66,70,3483,n/a
5/14/17,HL-6 Low,HL-6 Low,HL,6-Low,6,Low,0.75,50,45,59,69,77,3844,n/a
5/17/17,HL-6 Low,HL-6 Low,HL,6-Low,6,Low,0.5,500,147,126,155,285,142667,n/a
6/7/17,HL-6 Low,HL-6 Low,HL,6-Low,6,Low,0.5,800,152,214,163,353,282133,unknown
6/8/17,HL-6 Low,HL-6 Low,HL,6-Low,6,Low,1,425,9,11,11,10,4392,unknown
6/15/17,HL-6 Low,HL-6 Low,HL,6-Low,6,Low,1,290,1,2,2,2,483,unknown
6/17/17,HL-6 Low,HL-6 Low,HL,6-Low,6,Low,0.25,800,110,111,113,445,356267,unknown
6/19/17,HL-6 Low,HL-6 Low,HL,6-Low,6,Low,0.5,825,81,105,114,200,165000,unknown
6/22/17,HL-6 Low,HL-6 Low,HL,6-Low,6,Low,3,280,13,7,12,4,996,unknown
5/11/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,0.5,300,80,77,80,158,47400,n/a
5/14/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,0.5,300,115,112,107,223,66800,n/a
5/20/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,0.5,500,95,103,126,216,108000,22
5/21/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,1,250,53,61,45,53,13250,22
5/22/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,1,125,5,6,4,5,625,22
5/24/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,0.5,350,51,54,56,107,37567,unknown
5/25/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,0.5,310,37,58,56,101,31207,22
6/1/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,0.5,800,36,22,18,51,40533,22
6/3/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,0.5,820,34,41,41,77,63413,20
6/8/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,1,500,55,47,49,50,25167,unknown
6/10/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,0.5,320,0,4,2,4,1280,unknown
6/15/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,1,500,33,35,41,36,18167,unknown
6/17/17,K-10 Ambient,K-10 Ambient,K,10-Ambient,10,Ambient,0.5,300,23,22,19,43,12800,unknown
5/11/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.5,300,52,57,77,124,37200,n/a
5/14/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.75,300,127,139,126,174,52267,n/a
5/23/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.5,800,148,144,160,301,241067,17
5/24/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.5,500,65,73,62,133,66667,unknown
5/25/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.5,300,6,3,8,11,3400,17
5/26/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.5,300,17,16,17,33,10000,18
5/27/17,K-10 Low,K-10 Low,K,10-Low,10,Low,1,400,58,46,58,54,21600,18
6/4/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.5,825,143,100,104,231,190850,18
6/5/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.5,440,19,17,23,39,17307,unknown
6/19/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.5,500,11,11,17,26,13000,unknown
5/18/17,K-10 Low,K-10 Low,K,10-Low,10,Low,0.5,350,33,32,38,69,24033,n/a
5/19/17,K-10 Low,K-10 Low,K,10-Low,10,Low,2,500,49,44,50,24,11917,17
5/19/17,K-6 Ambient,K-6 Ambient,K,6-Ambient,6,Ambient,2,175,27,23,20,12,2042,19
5/20/17,K-6 Ambient,K-6 Ambient,K,6-Ambient,6,Ambient,0.5,500,89,94,86,179,89667,19
6/1/17,K-6 Ambient,K-6 Ambient,K,6-Ambient,6,Ambient,0.5,800,66,62,59,125,99733,17
6/3/17,K-6 Ambient,K-6 Ambient,K,6-Ambient,6,Ambient,0.5,820,80,105,58,162,132840,17
6/10/17,K-6 Ambient,K-6 Ambient,K,6-Ambient,6,Ambient,0.5,560,64,62,67,129,72053,unknown
6/12/17,K-6 Ambient,K-6 Ambient,K,6-Ambient,6,Ambient,0.5,350,3,8,7,12,4200,unknown
6/19/17,K-6 Ambient,K-6 Ambient,K,6-Ambient,6,Ambient,0.5,495,52,54,49,103,51150,unknown
6/20/17,K-6 Ambient,K-6 Ambient,K,6-Ambient,6,Ambient,0.5,500,72,58,67,131,65667,unknown
6/22/17,K-6 Ambient,K-6 Ambient,K,6-Ambient,6,Ambient,3,290,2,2,2,1,193,unknown
5/21/17,K-6 Low,K-6 Low,K,6-Low,6,Low,0.5,800,72,71,88,154,123200,23
5/22/17,K-6 Low,K-6 Low,K,6-Low,6,Low,1,200,10,9,8,9,1800,23
5/23/17,K-6 Low,K-6 Low,K,6-Low,6,Low,1,800,156,159,176,164,130933,23
5/24/17,K-6 Low,K-6 Low,K,6-Low,6,Low,0.5,530,45,51,41,91,48407,unknown
5/26/17,K-6 Low,K-6 Low,K,6-Low,6,Low,0.5,200,10,10,12,21,4267,20
6/7/17,K-6 Low,K-6 Low,K,6-Low,6,Low,0.5,800,37,34,22,62,49600,unknown
6/8/17,K-6 Low,K-6 Low,K,6-Low,6,Low,1,400,23,25,20,23,9067,unknown
6/10/17,K-6 Low,K-6 Low,K,6-Low,6,Low,0.5,300,6,3,5,9,2800,unknown
5/17/17,K-6 Low,K-6 Low,K,6-Low,6,Low,1,250,80,61,81,74,18500,n/a
5/24/17,NF-10 Low A,NF-10 Low,NF,10-Low,10,Low,0.5,1000,151,139,157,298,298000,9
5/25/17,NF-10 Ambient A,NF-10 Ambient,NF,10-Ambient,10,Ambient,0.5,800,155,,,310,248000,3
5/27/17,NF-10 Ambient A,NF-10 Ambient,NF,10-Ambient,10,Ambient,1,250,19,20,20,20,4917,3
6/3/17,NF-10 Ambient A,NF-10 Ambient,NF,10-Ambient,10,Ambient,0.5,840,151,116,116,255,214480,3
6/4/17,NF-10 Ambient A,NF-10 Ambient,NF,10-Ambient,10,Ambient,0.5,400,2,5,4,7,2933,3
6/7/17,NF-10 Ambient A,NF-10 Ambient,NF,10-Ambient,10,Ambient,0.5,800,146,142,133,281,224533,unknown
5/17/17,NF-10 Ambient B,NF-10 Ambient,NF,10-Ambient,10,Ambient,0.5,500,242,210,285,491,245667,n/a
5/18/17,NF-10 Ambient B,NF-10 Ambient,NF,10-Ambient,10,Ambient,1,250,2,4,6,4,1000,n/a
6/14/17,NF-10 Ambient B,NF-10 Ambient,NF,10-Ambient,10,Ambient,0.5,800,78,69,70,145,115733,unknown
6/15/17,NF-10 Ambient B,NF-10 Ambient,NF,10-Ambient,10,Ambient,0.5,800,36,37,36,73,58133,unknown
6/17/17,NF-10 Ambient B,NF-10 Ambient,NF,10-Ambient,10,Ambient,0.5,250,1,1,2,3,667,unknown
5/22/17,NF-10 Low A,NF-10 Low,NF,10-Low,10,Low,1,250,1,3,3,2,583,12
5/23/17,NF-10 Low A,NF-10 Low,NF,10-Low,10,Low,1,200,17,7,10,11,2267,12
5/27/17,NF-10 Low A,NF-10 Low,NF,10-Low,10,Low,1,200,7,18,10,12,2333,12
6/15/17,NF-10 Low A,NF-10 Low,NF,10-Low,10,Low,2,500,0,0,0, -   , -   ,unknown
7/3/17,NF-10 Low A,NF-10 Low,NF,10-Low,10,Low,2,475,178,165,187,88,41958,unknown
5/21/17,NF-10 Low B,NF-10 Low,NF,10-Low,10,Low,0.5,800,81,80,76,158,126400,12
5/24/17,NF-10 Low B,NF-10 Low,NF,10-Low,10,Low,0.5,800,122,123,104,233,186133,12
5/27/17,NF-10 Low B,NF-10 Low,NF,10-Low,10,Low,1,225,14,12,9,12,2625,12
6/1/17,NF-10 Low B,NF-10 Low,NF,10-Low,10,Low,0.5,275,1,1,6,5,1467,12
6/3/17,NF-10 Low B,NF-10 Low,NF,10-Low,10,Low,0.5,800,41,52,47,93,74667,12
6/4/17,NF-10 Low B,NF-10 Low,NF,10-Low,10,Low,0.5,360,2,2,1,3,1200,12
7/10/17,NF-10 Low B,NF-10 Low,NF,10-Low,10,Low,2,250,1,2,2,0.833333333,208,unknown
5/22/17,NF-6 Ambient A,NF-6 Ambient,NF,6-Ambient,6,Ambient,1,175,3,4,1,3,467,8
5/25/17,NF-6 Ambient A,NF-6 Ambient,NF,6-Ambient,6,Ambient,0.5,300,16,21,17,36,10800,8
5/27/17,NF-6 Ambient A,NF-6 Ambient,NF,6-Ambient,6,Ambient,1,325,11,9,13,11,3575,8
5/29/17,NF-6 Ambient A,NF-6 Ambient,NF,6-Ambient,6,Ambient,0.5,825,73,66,63,135,111100,8
5/31/17,NF-6 Ambient A,NF-6 Ambient,NF,6-Ambient,6,Ambient,0.5,200,4,1,5,7,1333,8
6/22/17,NF-6 Ambient A,NF-6 Ambient,NF,6-Ambient,6,Ambient,3,300,0,1,0,0,33,unknown
5/19/17,NF-6 Ambient B,NF-6 Ambient,NF,6-Ambient,6,Ambient,1,150,2,1,4,2,350,8
5/26/17,NF-6 Ambient B,NF-6 Ambient,NF,6-Ambient,6,Ambient,0.5,900,88,73,72,155,139800,8
5/27/17,NF-6 Ambient B,NF-6 Ambient,NF,6-Ambient,6,Ambient,1,225,31,26,37,31,7050,8
5/29/17,NF-6 Ambient B,NF-6 Ambient,NF,6-Ambient,6,Ambient,1,300,10,10,12,11,3200,8
6/5/17,NF-6 Low A,NF-6 Low,NF,6-Low,6,Low,0.5,540,88,81,76,163,88200,unknown
6/6/17,NF-6 Low A,NF-6 Low,NF,6-Low,6,Low,0.5,825,59,73,57, 126 ," 103,950 ",unknown
6/10/17,NF-6 Low A,NF-6 Low,NF,6-Low,6,Low,0.5,800,135,168,160,309,246933,unknown
6/12/17,NF-6 Low A,NF-6 Low,NF,6-Low,6,Low,0.5,300,19,10,18,31,9400,unknown
6/19/17,NF-6 Low A,NF-6 Low,NF,6-Low,6,Low,0.5,500,129,142,155,284,142000,unknown
6/22/17,NF-6 Low A,NF-6 Low,NF,6-Low,6,Low,3,250,10,12,10,4,889,unknown
5/25/17,NF-6 Low B,NF-6 Low,NF,6-Low,6,Low,0.5,900,171,,,342,307800,10
5/26/17,NF-6 Low B,NF-6 Low,NF,6-Low,6,Low,0.5,800,101,111,145,238,190400,10
5/27/17,NF-6 Low B,NF-6 Low,NF,6-Low,6,Low,1,325,29,24,21,25,8017,10
6/5/17,NF-6 Low B,NF-6 Low,NF,6-Low,6,Low,0.5,800,57,47,49,102,81600,unknown
6/6/17,NF-6 Low B,NF-6 Low,NF,6-Low,6,Low,0.5,340,3,0,4,5,1587,unknown
6/19/17,NF-6 Low B,NF-6 Low,NF,6-Low,6,Low,1.5,300,0,0,0, -   , -   ,unknown
7/10/17,NF-6 Low B,NF-6 Low,NF,6-Low,6,Low,0.25,800,109,93,82,379,302933,unknown
5/15/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.2,300,375,370,364,1848,554500,n/a
5/17/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,500,54,55,50,106,53000,n/a
5/18/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,1,250,0,1,2,1,250,n/a
5/20/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,800,201,194,185,387,309333,5
5/21/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,800,278,294,267,559,447467,11
5/23/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,350,40,64,60,109,38267,11
6/3/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,820,195,212,191,399,326907,5
6/4/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,825,115,96,120,221,182050,2
6/6/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,450,7,7,7,14,6300,unknown
7/10/17,SN-10 Ambient A,SN-10 Ambient,SN,10-Ambient,10,Ambient,2,200,2,1,3,1,200,unknown
5/14/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.75,300,185,223,197,269,80667,n/a
5/17/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,150,33,32,29,63,9400,n/a
5/18/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,1,250,23,26,20,23,5750,n/a
5/19/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,800,133,139,106,252,201600,5
5/20/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,280,16,17,15,32,8960,5
5/21/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,800,118,125,122,243,194667,11
5/22/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,1,200,17,18,16,17,3400,11
6/1/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,900,230,246,202,452,406800,5
6/3/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,440,191,207,206,403,177173,5
6/14/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,525,63,58,74,130,68250,unknown
6/15/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,800,37,48,61,97,77867,unknown
6/17/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,250,4,3,0,5,1167,unknown
7/5/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,3,250,6,5,4,2,417,unknown
7/6/17,SN-10 Ambient B,SN-10 Ambient,SN,10-Ambient,10,Ambient,0.5,800,163,174,163,333,266667,unknown
5/14/17,SN-10 Low A,SN-10 Low,SN,10-Low,10,Low,0.75,300,234,277,224,327,98000,n/a
5/15/17,SN-10 Low A,SN-10 Low,SN,10-Low,10,Low,0.2,150,110,76,123,515,77250,n/a
5/17/17,SN-10 Low A,SN-10 Low,SN,10-Low,10,Low,1,250,4,12,16,11,2667,n/a
5/18/17,SN-10 Low A,SN-10 Low,SN,10-Low,10,Low,1,200,1,1,1,1,200,n/a
5/20/17,SN-10 Low A,SN-10 Low,SN,10-Low,10,Low,0.5,750,192,180,190,375,281000,7
5/31/17,SN-10 Low A,SN-10 Low,SN,10-Low,10,Low,0.25,900,120,94,101,420,378000,7
6/24/17,SN-10 Low A,SN-10 Low,SN,10-Low,10,Low,0.5,800,59,59,61,119,95467,unknown
5/17/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,500,371,366,400,758,379000,n/a
5/17/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,200,31,40,40,74,14800,n/a
5/17/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,200,31,26,23,53,10667,n/a
5/18/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,1,300,27,43,42,37,11200,n/a
5/21/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,800,116,102,105,215,172267,7
5/23/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,600,43,63,63,113,67600,7
5/26/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,800,69,68,80,145,115733,9
5/27/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,825,86,113,86,190,156750,9
5/29/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,1,300,14,14,17,15,4500,9
6/14/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,830,213,227,242,455,377373,unknown
6/15/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,800,79,81,80,160,128000,unknown
6/17/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,0.5,350,3,2,3,5,1867,unknown
6/22/17,SN-10 Low B,SN-10 Low,SN,10-Low,10,Low,3,300,12,7,7,3,867,unknown
5/14/17,SN-6 Ambient A,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.75,300,173,175,170,230,69067,n/a
5/15/17,SN-6 Ambient A,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.2,300,307,286,330,1538,461500,n/a
5/17/17,SN-6 Ambient A,SN-6 Ambient,SN,6-Ambient,6,Ambient,1,250,3,7,7,6,1417,n/a
5/27/17,SN-6 Ambient A,SN-6 Ambient,SN,6-Ambient,6,Ambient,1,210,4,6,10,7,1400,16
6/19/17,SN-6 Ambient A,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,800,100,96,110,204,163200,unknown
5/17/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,800,136,131,134,267,213867,n/a
5/17/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,250,5,8,12,17,4167,n/a
5/18/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,1,250,16,11,16,14,3583,n/a
5/21/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,1,250,33,38,27,33,8167,16
5/22/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,1,250,97,101,96,98,24500,16
5/23/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,640,162,151,177,327,209067,16
5/24/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,250,9,12,6,18,4500,unknown
6/3/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,850,78,96,91,177,150167,16
6/5/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,800,301,299,308,605,484267,unknown
6/6/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,400,15,12,10,25,9867,unknown
6/15/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,800,147,154,140,294,235200,unknown
6/17/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,800,83,68,45,131,104533,unknown
6/19/17,SN-6 Ambient B,SN-6 Ambient,SN,6-Ambient,6,Ambient,0.5,510,22,35,31,59,29920,unknown
5/20/17,SN-6 Low A,SN-6 Low,SN,6-Low,6,Low,1,200,56,54,68,59,11867,3
5/21/17,SN-6 Low A,SN-6 Low,SN,6-Low,6,Low,0.5,800,177,158,134,313,250133,13
5/22/17,SN-6 Low A,SN-6 Low,SN,6-Low,6,Low,0.5,800,75,79,101,170,136000,13
5/23/17,SN-6 Low A,SN-6 Low,SN,6-Low,6,Low,1,150,7,9,4,7,1000,13
5/31/17,SN-6 Low A,SN-6 Low,SN,6-Low,6,Low,0.25,800,43,36,75,205,164267,13
6/1/17,SN-6 Low A,SN-6 Low,SN,6-Low,6,Low,0.5,375,2,1,0,2,750,13
6/17/17,SN-6 Low A,SN-6 Low,SN,6-Low,6,Low,0.25,800,61,41,43,193,154667,unknown
5/21/17,SN-6 Low B,SN-6 Low,SN,6-Low,6,Low,0.5,800,145,104,145,263,210133,13
