Group,Population,Treatment,Temperature,pH,Total.Spawned,Days.Stocked,Larvae.Stocked,Live.tossed.with.morts,Live.lost.accidents,180s.setting.takns,Larvae.stocked.adjusted,Setters.stocked,Silo.set,Silo.set.salvaged,Singles,Post-set,9.month.old
HL-6 Ambient,HL,"6C, Ambient pH",6,Ambient,105133,1,65667,9881,6858,250,48929,2496,160,0,501,661,480
HL-6 Low,HL,"6C, Low pH",6,Low,959265,3,255371,27660,NA,133,227711,10686,162,0,834,996,714
HL-10 Ambient,HL,"10C, Ambient pH",10,Ambient,939468,5,283858,13988,NA,83,269869,13917,42,0,1311,1353,unknown
HL-10 Low,HL,"10C, Low pH",10,Low,705188,6,310875,9740,1070,167,300065,19858,92,0,1091,1183,unknown
K-6 Ambient,K,"6C, Ambient pH",6,Ambient,517545,6,353768,20591,NA,NA,333177,22186,16,0,356,372,331
K-6 Low,K,"6C, Low pH",6,Low,370073,5,179717,7719,NA,NA,171998,9735,7,0,334,341,315
K-10 Ambient,K,"10C, Ambient pH",10,Ambient,466208,9,324165,9728,NA,28,314438,13932,13,0,246,259,unknown
K-10 Low,K,"10C, Low pH",10,Low,653357,7,225873,4387,NA,NA,221487,2106,9,0,113,122,unknown
NF-6 Ambient,NF,"6C, Ambient pH",6,Ambient,277708,4,131675,670,NA,13,131005,11119,19,14,1503,1536,1439
NF-6 Low,NF,"6C, Low pH",6,Low,1483709,9,391716,1580,NA,379,390136,11780,22,8,670,700,606
NF-10 Ambient,NF,"10C, Ambient pH",10,Ambient,1116063,5,319277,10216,34597,NA,274464,3698,47,12,626,685,unknown
NF-10 Low,NF,"10C, Low pH",10,Low,439842,4,211417,510,NA,NA,210907,2977,4,2,75,81,74
SN-6 Ambient,SN,"6C, Ambient pH",6,Ambient,2178387,9,477403,19053,23112,NA,435238,11931,5,1,124,130,120
SN-6 Ambient mini,SN-mini,"6C, Ambient pH",6,Ambient,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,96,68
SN-6 Low,SN,"6C, Low pH",6,Low,2115477,10,532417,16628,NA,27,515788,6029,23,4,192,219,190
SN-6 Low mini,SN-mini,"6C, Low pH",6,Low,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,275,190
SN-10 Ambient,SN,"10C, Ambient pH",10,Ambient,3421057,13,750793,11556,30333,NA,708904,29595,3,1,52,56,47
SN-10 Ambient mini,SN-mini,"10C, Ambient pH",10,Ambient,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,4,4
SN-10 Low,SN,"10C, Low pH",10,Low,2373207,9,660450,9573,4348,37,646529,4757,1,0,34,35,27
SN-10 Low mini,SN-mini,"10C, Low pH",10,Low,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,31,19
