Pop,temp,ph,first.stock,Onset,Peak,Last-eyed,last.stock,Time-onset,Time-peak,Time-last
HL,6,LOW,6/7/17,6/26/17,7/3/17,7/20/17,6/22/17,19,26,28
HL,6,AMB,6/12/17,7/3/17,7/10/17,7/17/17,6/12/17,21,28,35
HL,10,LOW,5/26/17,6/9/17,6/15/17,7/25/17,6/24/17,14,20,31
HL,10,AMB,5/24/17,6/12/17,6/19/17,7/25/17,7/1/17,19,26,24
NF,6,LOW,5/25/17,6/5/17,6/26/17,7/17/17,6/22/17,11,32,25
NF,6,AMB,5/19/17,6/5/17,6/12/17,7/10/17,6/22/17,17,24,18
NF,10,LOW,5/21/17,6/5/17,6/15/17,7/20/17,7/3/17,15,25,17
NF,10,AMB,5/25/17,6/9/17,6/19/17,7/20/17,6/17/17,15,25,33
SN,6,LOW,5/20/17,6/5/17,6/19/17,7/10/17,6/17/17,16,30,23
SN,6,AMB,5/21/17,6/5/17,6/19/17,7/17/17,6/19/17,15,29,28
SN,10,LOW,5/20/17,6/5/17,6/12/17,7/17/17,6/24/17,16,23,23
SN,10,AMB,5/21/17,6/9/17,6/15/17,7/20/17,7/6/17,19,25,14
K,6,LOW,5/21/17,6/9/17,6/26/17,7/17/17,6/8/17,19,36,39
K,6,AMB,5/19/17,6/5/17,6/19/17,7/20/17,6/22/17,17,31,28
K,10,LOW,5/19/17,6/5/17,6/9/17,7/20/17,6/19/17,17,21,31
K,10,AMB,5/20/17,6/5/17,6/12/17,7/17/17,6/17/17,16,23,30
