Bucket,Date,Population,Treatment,Temperature,pH,actual,density,expected,morts,restocked,setters,stocked,survival,dead,survival.t
24,6/12/17,HL,6 Ambient,6,Ambient,NA,65667,NA,NA,NA,NA,65667,NA,NA,NA
24,6/13/17,HL,6 Ambient,6,Ambient,NA,65667,NA,NA,NA,NA,NA,NA,NA,NA
24,6/14/17,HL,6 Ambient,6,Ambient,NA,65667,NA,NA,NA,NA,NA,NA,NA,NA
24,6/15/17,HL,6 Ambient,6,Ambient,55333,55333,65667,8933,55333,NA,NA,0.84263024,10334,1.162878811
24,6/16/17,HL,6 Ambient,6,Ambient,NA,55333,NA,NA,NA,NA,NA,NA,NA,NA
24,6/17/17,HL,6 Ambient,6,Ambient,NA,55333,NA,NA,NA,NA,NA,NA,NA,NA
24,6/18/17,HL,6 Ambient,6,Ambient,NA,55333,NA,NA,NA,NA,NA,NA,NA,NA
24,6/19/17,HL,6 Ambient,6,Ambient,37067,37067,55333,500,37067,NA,NA,0.669889578,18266,0.9587392
24,6/20/17,HL,6 Ambient,6,Ambient,NA,37067,NA,NA,NA,NA,NA,NA,NA,NA
24,6/21/17,HL,6 Ambient,6,Ambient,NA,37067,NA,NA,NA,NA,NA,NA,NA,NA
24,6/22/17,HL,6 Ambient,6,Ambient,28033,28033,37067,147,28033,NA,NA,0.75627917,9034,1.05447898
24,6/23/17,HL,6 Ambient,6,Ambient,NA,28033,NA,NA,NA,NA,NA,NA,NA,NA
24,6/24/17,HL,6 Ambient,6,Ambient,NA,28033,NA,NA,NA,NA,NA,NA,NA,NA
24,6/25/17,HL,6 Ambient,6,Ambient,NA,28033,NA,NA,NA,NA,NA,NA,NA,NA
24,6/26/17,HL,6 Ambient,6,Ambient,27800,27800,28033,NA,27800,NA,NA,0.991688367,233,1.479501403
24,6/27/17,HL,6 Ambient,6,Ambient,NA,27800,NA,NA,NA,NA,NA,NA,NA,NA
24,6/28/17,HL,6 Ambient,6,Ambient,NA,27800,NA,NA,NA,NA,NA,NA,NA,NA
24,6/29/17,HL,6 Ambient,6,Ambient,19117,19117,27800,NA,19117,NA,NA,0.687661871,8683,0.977771176
24,6/30/17,HL,6 Ambient,6,Ambient,NA,19117,NA,NA,NA,NA,NA,NA,NA,NA
24,7/1/17,HL,6 Ambient,6,Ambient,NA,19117,NA,NA,NA,NA,NA,NA,NA,NA
24,7/2/17,HL,6 Ambient,6,Ambient,NA,19117,NA,NA,NA,NA,NA,NA,NA,NA
24,7/3/17,HL,6 Ambient,6,Ambient,5667,5333,19117,NA,5333,333,NA,0.296437726,13450,0.575746325
24,7/4/17,HL,6 Ambient,6,Ambient,NA,5333,NA,NA,NA,NA,NA,NA,NA,NA
24,7/5/17,HL,6 Ambient,6,Ambient,NA,5333,NA,NA,NA,NA,NA,NA,NA,NA
24,7/6/17,HL,6 Ambient,6,Ambient,3669,3119,5333,NA,3119,550,NA,0.687980499,1664,0.978114983
24,7/7/17,HL,6 Ambient,6,Ambient,NA,3119,NA,NA,NA,NA,NA,NA,NA,NA
